x1,x2,x3,x4,x5,x6,y,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,,
id61539,7.1.1,asus_ASUS_X00HD,FR,0,1997,0,21,0,1,0,0,0.03614457831,0,83,asus,0,7,0,0,0,0,1,FALSE,NA,NA,NA,,
id131313,7,samsung_SM-A310F,DK,0,1999,0,19,0,2,0,0,0.5294117647,0,102,samsung,0,7,0,0,0,0,0,FALSE,NA,NA,NA,,
id57636,8.0.0,samsung_SM-G935F,SE,2,1996,0,22,0,1,0,0.03191489362,0.06382978723,0,94,samsung,0,8,0,0,0,1,0,TRUE,NA,NA,NA,,
id138112,8.0.0,samsung_SM-A600T,US,0,1976,0,42,0,2,1,0,0.2,0,50,samsung,0,8,0,0,0,1,0,FALSE,NA,NA,NA,,
id140462,7,samsung_SM-N920P,US,0,1989,0,29,0,2,2,0.02857142857,0.07142857143,0,70,samsung,0,7,0,0,0,0,0,TRUE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id104875,7.1.1,Coolpad_Coolpad 3632A,US,1,1992,0,26,0,2,0,0,0.07142857143,0,42,Coolpad,0,7,0,0,1,0,0,FALSE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id138427,8.0.0,samsung_SM-N950F,US,0,1995,0,23,0,2,1,0.0487804878,0.1056910569,0,123,samsung,0,8,0,0,0,1,0,TRUE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id129440,8.1.0,samsung_SM-J727T1,US,1,1991,0,27,0,1,3,0.0487804878,0.0243902439,0,41,samsung,0,8,0,0,1,1,0,TRUE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id122630,6.0.1,OPPO_CPH1611,SG,0,2000,0,18,0,0,1,0.03375527426,0.05063291139,0,237,OPPO,0,6,0,0,0,0,0,FALSE,574253038517356133,Facebook,Play Games. Earn Money.,,
id46515,8.1.0,samsung_SM-J530F,FR,0,1995,0,23,0,1,0,0,0.08888888889,0,45,samsung,0,8,0,0,0,1,1,FALSE,komistplay-i277fc4c38ac926c,Bidalgo - Instagram,Default Facebook,,
id47775,7,LGE_LG-H831,CA,0,1987,0,31,0,1,1,0.06849315068,0.1095890411,0,73,LGE,0,7,0,0,0,0,0,TRUE,komistplay-i277fc4c38ac926c,Bidalgo - Instagram,Default Facebook,,
id130217,7,LGE_LG-M210,US,1,1986,0,32,0,1,0,0,0.2631578947,0,38,LGE,0,7,0,0,1,0,0,FALSE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id82386,8.1.0,LGE_LM-V405,US,0,1999,0,19,0,2,1,0,0.1320754717,0,53,LGE,0,8,0,0,0,1,0,TRUE,492786776143062094,Facebook,NA,,
id51991,6.0.1,samsung_SM-S327VL,US,0,2002,0,16,0,6,1,0,0.4716981132,0,106,samsung,0,6,0,0,0,0,0,TRUE,NA,NA,NA,,
id77160,8.0.0,samsung_SM-G950W,CA,1,1999,0,19,0,1,1,0.02040816327,0.02040816327,0,98,samsung,0,8,0,0,1,1,0,TRUE,komistplay-i277fc4c38ac926c,Bidalgo - Instagram,Default Facebook,,
id99493,8.0.0,samsung_SM-G960U,US,1,1992,0,26,0,3,2,0.03676470588,0.09558823529,0,136,samsung,0,8,0,0,1,1,0,TRUE,komistplay-i278aa7320f12d13,Fluent,LLC,Fluent,
id9128,7,samsung_SM-G950F,AU,1,1961,0,57,0,7,0,0,0.3766233766,0,77,samsung,0,7,0,0,1,0,0,TRUE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
